code,organism_key,taxon
5,NBNORG0000008788,Vespertilio murinus
5,NBNORG0000008789,Plecotus auritus
5,NBNORG0000008790,Plecotus austriacus
3,NBNORG0000024869,Myotis
1,NBNORG0000026298,Pipistrellus
3,NBNORG0000026312,Plecotus
1,NBNORG0000026400,Rhinolophus
3,NBNORG0000042957,Pipistrellus pygmaeus
3,NBNORG0000049699,Rhinolophus ferrumequinum
3,NBNORG0000049700,Rhinolophus hipposideros
3,NBNORG0000049701,Barbastella barbastellus
4,NBNORG0000049702,Myotis myotis
5,NBNORG0000049703,Myotis mystacinus
4,NBNORG0000049704,Myotis nattereri
4,NBNORG0000049705,Nyctalus leisleri
3,NBNORG0000049706,Nyctalus noctula
3,NBNORG0000049707,Pipistrellus nathusii
5,NBNORG0000052762,Pipistrellus kuhlii
5,NBNORG0000060569,Eptesicus fuscus
5,NBNORG0000060570,Eptesicus nilssonii
4,NBNORG0000060571,Eptesicus serotinus
4,NBNORG0000060572,Myotis bechsteinii
5,NBNORG0000060573,Myotis brandtii
4,NBNORG0000060574,Myotis daubentonii
5,NBNORG0000060575,Myotis lucifugus
3,NBNORG0000091151,Pipistrellus pipistrellus sensu stricto
5,NBNORG0000099305,Myotis alcathoe
5,NBNORG0000104324,Hypsugo savii
5,NBNORG0000104327,Lasiurus (Lasiurus) cinereus
