tvk,start_day,start_month,end_day,end_month,stage,taxon,rtvk,organism_key
NBNSYS0000006818,1,5,31,10,mature,Decticus verrucivorus,NBNSYS0000006818,NBNORG0000009645
NBNSYS0000006821,1,4,30,11,mature,Metrioptera brachyptera,NBNSYS0000006821,NBNORG0000009646
NBNSYS0000006824,1,2,31,12,mature,Conocephalus dorsalis,NBNSYS0000006824,NBNORG0000009648
NBNSYS0000006825,1,4,30,11,mature,Leptophyes punctatissima,NBNSYS0000006825,NBNORG0000009649
NBNSYS0000006830,1,6,31,10,mature,Gryllotalpa gryllotalpa,NBNSYS0000006830,NBNORG0000009652
NBNSYS0000006834,1,6,31,10,mature,Stethophyma grossum,NBNSYS0000006834,NBNORG0000009656
NBNSYS0000006835,1,4,31,10,mature,Stenobothrus lineatus,NBNSYS0000006835,NBNORG0000009657
NBNSYS0000006836,1,5,31,10,mature,Stenobothrus stigmaticus,NBNSYS0000006836,NBNORG0000009658
NBNSYS0000006838,1,1,30,11,mature,Omocestus viridulus,NBNSYS0000006838,NBNORG0000009659
NBNSYS0000006839,1,4,30,11,mature,Myrmeleotettix maculatus,NBNSYS0000006839,NBNORG0000009660
NBNSYS0000006840,1,5,31,10,mature,Gomphocerippus rufus,NBNSYS0000006840,NBNORG0000009661
NBNSYS0000006843,1,1,30,11,mature,Pseudochorthippus parallelus,NHMSYS0021583970,NBNORG0000009663
NHMSYS0001387286,1,5,30,11,mature,Chorthippus albomarginatus,NHMSYS0001387286,NBNORG0000075669
NHMSYS0001387288,1,6,31,10,mature,Chorthippus vagans,NHMSYS0001387288,NBNORG0000075670
NHMSYS0001387299,1,4,30,11,mature,Ectobius lapponicus,NHMSYS0001387299,NBNORG0000075677
NHMSYS0001387301,1,5,31,10,mature,Capraiellus panzeri,NHMSYS0021584595,NBNORG0000075679
NHMSYS0001387363,1,3,30,11,mature,Gryllus campestris,NHMSYS0001387363,NBNORG0000075694
NHMSYS0001387418,1,5,30,11,mature,Meconema thalassinum,NHMSYS0001387418,NBNORG0000075708
NHMSYS0001387431,1,5,30,11,mature,Omocestus rufipes,NHMSYS0001387431,NBNORG0000075718
NHMSYS0001387438,1,4,30,11,mature,Platycleis albopunctata,NHMSYS0001387438,NBNORG0000075724
NHMSYS0001387471,1,4,30,11,mature,Tettigonia viridissima,NHMSYS0001387471,NBNORG0000075743
NHMSYS0019998481,1,7,31,10,mature,Phaneroptera falcata,NHMSYS0019998481,NBNORG0000090714
NHMSYS0020752279,1,5,30,11,mature,Conocephalus fuscus,NHMSYS0020752279,NBNORG0000103833
NHMSYS0020784634,1,4,30,11,mature,Euchorthippus elegantulus,NHMSYS0020784634,NBNORG0000104371
NHMSYS0020973976,1,6,30,11,mature,Oecanthus pellucens,NHMSYS0020973976,NBNORG0000108236
NHMSYS0020977729,1,7,31,12,mature,Meconema meridionale,NHMSYS0020977729,NBNORG0000108342
NHMSYS0020978368,1,7,31,10,mature,Phaneroptera nana,NHMSYS0020978368,NBNORG0000108414
NHMSYS0020978386,1,5,31,10,mature,Ruspolia nitidula,NHMSYS0020978386,NBNORG0000108416
