tvk,code,taxon,rtvk,organism_key
NBNSYS0000007795,3,Beris chalybata,NBNSYS0000007795,NBNORG0000010073
NBNSYS0000007796,2,Beris clavipes,NBNSYS0000007796,NBNORG0000010074
NBNSYS0000007797,3,Beris fuscipes,NBNSYS0000007797,NBNORG0000010075
NBNSYS0000007799,3,Beris morrisii,NBNSYS0000007799,NBNORG0000010076
NBNSYS0000007800,2,Beris vallata,NBNSYS0000007800,NBNORG0000010077
NBNSYS0000007802,3,Chorisops tibialis,NBNSYS0000007802,NBNORG0000010078
NBNSYS0000007803,4,Clitellaria ephippium,NBNSYS0000007803,NBNORG0000010079
NBNSYS0000007804,3,Nemotelus nigrinus,NBNSYS0000007804,NBNORG0000010080
NBNSYS0000007805,3,Nemotelus notatus,NBNSYS0000007805,NBNORG0000010081
NBNSYS0000007806,3,Nemotelus pantherinus,NBNSYS0000007806,NBNORG0000010082
NBNSYS0000007807,3,Nemotelus uliginosus,NBNSYS0000007807,NBNORG0000010083
NBNSYS0000007808,2,Oxycera analis,NBNSYS0000007808,NBNORG0000010084
NBNSYS0000007809,2,Oxycera dives,NBNSYS0000007809,NBNORG0000010085
NBNSYS0000007810,2,Oxycera fallenii,NBNSYS0000007810,NBNORG0000010086
NBNSYS0000007812,3,Oxycera leonina,NBNSYS0000007812,NBNORG0000010087
NBNSYS0000007813,3,Oxycera morrisii,NBNSYS0000007813,NBNORG0000010088
NBNSYS0000007814,3,Oxycera pardalina,NBNSYS0000007814,NBNORG0000010089
NBNSYS0000007815,3,Oxycera pygmaea,NBNSYS0000007815,NBNORG0000010090
NBNSYS0000007816,2,Oxycera rara,NBNSYS0000007816,NBNORG0000010091
NBNSYS0000007817,3,Oxycera terminata,NBNSYS0000007817,NBNORG0000010092
NBNSYS0000007818,2,Oxycera trilineata,NBNSYS0000007818,NBNORG0000010093
NBNSYS0000007819,3,Vanoyia tenuicornis,NBNSYS0000007819,NBNORG0000010094
NBNSYS0000007820,2,Pachygaster atra,NBNSYS0000007820,NBNORG0000010095
NBNSYS0000007824,3,Eupachygaster tarsalis,NBNSYS0000007824,NBNORG0000010096
NBNSYS0000007825,1,Chloromyia formosa,NBNSYS0000007825,NBNORG0000010097
NBNSYS0000007826,2,Microchrysa cyaneiventris,NBNSYS0000007826,NBNORG0000010098
NBNSYS0000007827,2,Microchrysa flavicornis,NBNSYS0000007827,NBNORG0000010099
NBNSYS0000007828,2,Microchrysa polita,NBNSYS0000007828,NBNORG0000010100
NBNSYS0000007829,2,Sargus bipunctatus,NBNSYS0000007829,NBNORG0000010101
NBNSYS0000007830,4,Sargus cuprarius,NBNSYS0000007830,NBNORG0000010102
NBNSYS0000007831,4,Sargus iridatus,NBNSYS0000007831,NBNORG0000010103
NBNSYS0000007832,3,Sargus flavipes,NBNSYS0000007832,NBNORG0000010104
NBNSYS0000007833,3,Odontomyia angulata,NBNSYS0000007833,NBNORG0000010105
NBNSYS0000007834,2,Odontomyia argentata,NBNSYS0000007834,NBNORG0000010106
NBNSYS0000007835,3,Odontomyia hydroleon,NBNSYS0000007835,NBNORG0000010107
NBNSYS0000007837,2,Odontomyia tigrina,NBNSYS0000007837,NBNORG0000010108
NBNSYS0000007838,3,Oplodontha viridula,NBNSYS0000007838,NBNORG0000010109
NHMSYS0000377461,6,Oplodontha viridula,NBNSYS0000007838,NBNORG0000010109
NBNSYS0000007839,2,Stratiomys chamaeleon,NBNSYS0000007839,NBNORG0000010110
NBNSYS0000007840,2,Stratiomys singularior,NBNSYS0000007840,NBNORG0000010111
NBNSYS0000007841,2,Stratiomys longicornis,NBNSYS0000007841,NBNORG0000010112
NBNSYS0000007842,2,Stratiomys potamida,NBNSYS0000007842,NBNORG0000010113
NBNSYS0000007844,2,Solva marginata,NBNSYS0000007844,NBNORG0000010114
NBNSYS0000007845,4,Solva varia,NBNSYS0000007845,NBNORG0000010115
NBNSYS0000007846,3,Xylophagus ater,NBNSYS0000007846,NBNORG0000010116
NBNSYS0000007847,3,Xylophagus cinctus,NBNSYS0000007847,NBNORG0000010117
NBNSYS0000007848,4,Xylophagus junki,NBNSYS0000007848,NBNORG0000010118
NBNSYS0000007850,2,Chrysopilus cristatus,NBNSYS0000007850,NBNORG0000010119
NBNSYS0000007851,3,Chrysopilus erythrophthalmus,NBNSYS0000007851,NBNORG0000010120
NBNSYS0000007852,4,Chrysopilus laetus,NBNSYS0000007852,NBNORG0000010121
NBNSYS0000007854,5,Ptiolina obscura,NBNSYS0000007854,NBNORG0000010122
NBNSYS0000007855,4,Spania nigra,NBNSYS0000007855,NBNORG0000010123
NBNSYS0000007857,3,Symphoromyia immaculata,NBNSYS0000007857,NBNORG0000010124
NBNSYS0000007858,2,Atherix ibis,NBNSYS0000007858,NBNORG0000010125
NBNSYS0000007860,3,Atrichops crassipes,NBNSYS0000007860,NBNORG0000010126
NBNSYS0000007861,4,Rhagio annulatus,NBNSYS0000007861,NBNORG0000010127
NBNSYS0000007862,2,Rhagio lineola,NBNSYS0000007862,NBNORG0000010128
NBNSYS0000007863,3,Rhagio notatus,NBNSYS0000007863,NBNORG0000010129
NBNSYS0000007865,4,Rhagio strigosus,NBNSYS0000007865,NBNORG0000010130
NBNSYS0000007866,2,Rhagio tringarius,NBNSYS0000007866,NBNORG0000010131
NBNSYS0000007867,2,Chrysops caecutiens,NBNSYS0000007867,NBNORG0000010132
NBNSYS0000007868,3,Chrysops relictus,NBNSYS0000007868,NBNORG0000010133
NBNSYS0000007869,4,Chrysops sepulcralis,NBNSYS0000007869,NBNORG0000010134
NBNSYS0000007870,3,Chrysops viduatus,NBNSYS0000007870,NBNORG0000010135
NBNSYS0000007871,3,Haematopota bigoti,NBNSYS0000007871,NBNORG0000010136
NBNSYS0000007872,3,Haematopota crassicornis,NBNSYS0000007872,NBNORG0000010137
NBNSYS0000007873,3,Haematopota grandis,NBNSYS0000007873,NBNORG0000010138
NBNSYS0000007874,3,Haematopota pluvialis,NBNSYS0000007874,NBNORG0000010139
NBNSYS0000007875,3,Atylotus fulvus,NBNSYS0000007875,NBNORG0000010140
NBNSYS0000007877,4,Atylotus plebeius,NBNSYS0000007877,NBNORG0000010141
NBNSYS0000007878,3,Atylotus rusticus,NBNSYS0000007878,NBNORG0000010142
NBNSYS0000007879,3,Hybomitra bimaculata,NBNSYS0000007879,NBNORG0000010143
NBNSYS0000007880,3,Hybomitra ciureai,NBNSYS0000007880,NBNORG0000010144
NBNSYS0000007881,4,Hybomitra distinguenda,NBNSYS0000007881,NBNORG0000010145
NBNSYS0000007882,4,Hybomitra expollicata,NBNSYS0000007882,NBNORG0000010146
NBNSYS0000007883,4,Hybomitra lurida,NBNSYS0000007883,NBNORG0000010147
NBNSYS0000007884,3,Hybomitra micans,NBNSYS0000007884,NBNORG0000010148
NBNSYS0000007885,4,Hybomitra montana,NBNSYS0000007885,NBNORG0000010149
NBNSYS0000007887,3,Tabanus autumnalis,NBNSYS0000007887,NBNORG0000010150
NBNSYS0000007888,5,Tabanus bovinus,NBNSYS0000007888,NBNORG0000010151
NBNSYS0000007889,4,Tabanus sudeticus,NBNSYS0000007889,NBNORG0000010152
NBNSYS0000007890,3,Tabanus bromius,NBNSYS0000007890,NBNORG0000010153
NBNSYS0000007891,3,Tabanus maculicornis,NBNSYS0000007891,NBNORG0000010154
NBNSYS0000007892,4,Tabanus miki,NBNSYS0000007892,NBNORG0000010155
NBNSYS0000007893,4,Tabanus cordiger,NBNSYS0000007893,NBNORG0000010156
NBNSYS0000007894,3,Tabanus glaucopis,NBNSYS0000007894,NBNORG0000010157
NBNSYS0000007895,1,Asilus crabroniformis,NBNSYS0000007895,NBNORG0000010158
NBNSYS0000007896,2,Dysmachus trigonus,NBNSYS0000007896,NBNORG0000010159
NBNSYS0000007900,2,Eutolmus rufibarbis,NBNSYS0000007900,NBNORG0000010161
NBNSYS0000007901,3,Machimus atricapillus,NBNSYS0000007901,NBNORG0000010162
NBNSYS0000007902,3,Machimus rusticus,NBNSYS0000007902,NBNORG0000010163
NBNSYS0000007903,4,Neoitamus cothurnatus,NBNSYS0000007903,NBNORG0000010164
NBNSYS0000007904,3,Neoitamus cyanurus,NBNSYS0000007904,NBNORG0000010165
NBNSYS0000007905,2,Pamponerus germanicus,NBNSYS0000007905,NBNORG0000010166
NBNSYS0000007906,3,Philonicus albiceps,NBNSYS0000007906,NBNORG0000010167
NBNSYS0000007907,3,Rhadiurgus variabilis,NBNSYS0000007907,NBNORG0000010168
NBNSYS0000007908,2,Laphria flava,NBNSYS0000007908,NBNORG0000010169
NBNSYS0000007911,2,Leptogaster cylindrica,NBNSYS0000007911,NBNORG0000010170
NBNSYS0000007912,3,Leptogaster guttiventris,NBNSYS0000007912,NBNORG0000010171
NBNSYS0000007913,4,Dasypogon diadema,NBNSYS0000007913,NBNORG0000010172
NBNSYS0000007914,2,Dioctria atricapilla,NBNSYS0000007914,NBNORG0000010173
NBNSYS0000007915,2,Dioctria baumhaueri,NBNSYS0000007915,NBNORG0000010174
NBNSYS0000007916,3,Dioctria cothurnata,NBNSYS0000007916,NBNORG0000010175
NBNSYS0000007917,2,Dioctria linearis,NBNSYS0000007917,NBNORG0000010176
NBNSYS0000007918,2,Dioctria oelandica,NBNSYS0000007918,NBNORG0000010177
NBNSYS0000007919,3,Dioctria rufipes,NBNSYS0000007919,NBNORG0000010178
NBNSYS0000007920,2,Leptarthrus brevirostris,NBNSYS0000007920,NBNORG0000010179
NBNSYS0000007921,3,Lasiopogon cinctus,NBNSYS0000007921,NBNORG0000010180
NBNSYS0000007922,3,Dialineura anilis,NBNSYS0000007922,NBNORG0000010181
NBNSYS0000007927,3,Thereva bipunctata,NBNSYS0000007927,NBNORG0000010184
NBNSYS0000007928,4,Thereva fulva,NBNSYS0000007928,NBNORG0000010185
NBNSYS0000007929,4,Thereva handlirschi,NBNSYS0000007929,NBNORG0000010186
NBNSYS0000007930,4,Thereva inornata,NBNSYS0000007930,NBNORG0000010187
NBNSYS0000007931,3,Thereva nobilitata,NBNSYS0000007931,NBNORG0000010188
NBNSYS0000007933,4,Thereva strigata,NBNSYS0000007933,NBNORG0000010189
NBNSYS0000007934,4,Thereva valida,NBNSYS0000007934,NBNORG0000010190
NBNSYS0000007935,3,Scenopinus fenestralis,NBNSYS0000007935,NBNORG0000010191
NBNSYS0000007937,3,Scenopinus niger,NBNSYS0000007937,NBNORG0000010192
NBNSYS0000007939,2,Ogcodes gibbosus,NBNSYS0000007939,NBNORG0000010193
NBNSYS0000007940,2,Ogcodes pallipes,NBNSYS0000007940,NBNORG0000010194
NBNSYS0000007941,2,Bombylius canescens,NBNSYS0000007941,NBNORG0000010195
NBNSYS0000007942,2,Bombylius discolor,NBNSYS0000007942,NBNORG0000010196
NBNSYS0000007943,1,Bombylius major,NBNSYS0000007943,NBNORG0000010197
NBNSYS0000007944,2,Bombylius minor,NBNSYS0000007944,NBNORG0000010198
NBNSYS0000007945,1,Thyridanthrax fenestratus,NBNSYS0000007945,NBNORG0000010199
NBNSYS0000007946,3,Villa cingulata,NBNSYS0000007946,NBNORG0000010200
NBNSYS0000007949,2,Phthiria pulicaria,NBNSYS0000007949,NBNORG0000010201
NBNSYS0000042531,3,Haematopota subcylindrica,NBNSYS0000042531,NBNORG0000025181
NBNSYS0000148975,4,Hybomitra solstitialis,NBNSYS0000148975,NBNORG0000026891
NBNSYS0000158982,3,Villa modesta,NBNSYS0000158982,NBNORG0000027124
NBNSYS0000159204,3,Zabrachia tenella,NBNSYS0000159204,NBNORG0000027132
NBNSYS0000173330,3,Pandivirilia melaleuca,NBNSYS0000173330,NBNORG0000029222
NBNSYS0000189329,3,Cliorismia rustica,NBNSYS0000189329,NBNORG0000040668
NBNSYS0000189495,3,Spiriverpa lunulata,NBNSYS0000189495,NBNORG0000040676
NBNSYS0100001416,3,Acrosathe annulata,NBNSYS0100001416,NBNORG0000041028
NBNSYS0100002378,2,Choerades gilvus,NBNSYS0100002378,NBNORG0000041510
NBNSYS0100002379,2,Choerades marginatus,NBNSYS0100002379,NBNORG0000041511
NBNSYS0100003522,4,Hybomitra muehlfeldi,NBNSYS0100003522,NBNORG0000042178
NBNSYS0100003576,1,Ibisia marginata,NBNSYS0100003576,NBNORG0000042204
NBNSYS0100003706,2,Leptarthrus vitripennis,NBNSYS0100003706,NBNORG0000042279
NBNSYS0100003860,4,Machimus arthriticus,NBNSYS0100003860,NBNORG0000042372
NBNSYS0100003861,3,Machimus cingulatus,NBNSYS0100003861,NBNORG0000042373
NBNSYS0100004212,4,Neomochtherus pallipes,NBNSYS0100004212,NBNORG0000042612
NBNSYS0100004215,3,Neopachygaster meromelas,NBNSYS0100004215,NBNORG0000042615
NBNSYS0100004993,5,Ptiolina nigra,NBNSYS0100004993,NBNORG0000043078
NBNSYS0100005063,1,Rhagio scolopaceus,NBNSYS0100005063,NBNORG0000043114
NBNSYS0100005797,4,Thereva cinifera,NBNSYS0100005797,NBNORG0000043465
NBNSYS0100005798,4,Thereva plebeja,NBNSYS0100005798,NBNORG0000043466
NBNSYS0100005964,4,Villa venusta,NBNSYS0100005964,NBNORG0000043573
NBNSYS0100006018,2,Xylomya maculata,NBNSYS0100006018,NBNORG0000043607
NBNSYS0100020496,2,Chrysopilus asiliformis,NBNSYS0100020496,NBNORG0000045245
NBNSYS0100020558,3,Symphoromyia crassicornis,NBNSYS0100020558,NBNORG0000045247
NBNSYS0100020660,3,Beris geniculata,NBNSYS0100020660,NBNORG0000045258
NBNSYS0100020703,2,Pachygaster leachii,NBNSYS0100020703,NBNORG0000045261
NBNSYS0100020744,2,Odontomyia ornata,NBNSYS0100020744,NBNORG0000045264
NBNSYS0100027431,2,Acrocera orbiculus,NBNSYS0100027431,NBNORG0000045694
NBNSYS0100003862,6,Machimus cowini,NHMSYS0020734171,NBNORG0000103027
NHMSYS0020734171,4,Machimus cowini,NHMSYS0020734171,NBNORG0000103027
NBNSYS0000007801,6,Chorisops nagatomii,NHMSYS0020734178,NBNORG0000103030
NHMSYS0020734178,3,Chorisops nagatomii,NHMSYS0020734178,NBNORG0000103030
NBNSYS0000007811,6,Oxycera nigricornis,NHMSYS0020734187,NBNORG0000103035
NHMSYS0020734187,3,Oxycera nigricornis,NHMSYS0020734187,NBNORG0000103035
