taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Alainites muticus,NBNSYS0100001448,1,1,1758,,,
Ameletus inopinatus,NBNSYS0000010859,1,1,1898,,,
Arthroplea congener,NBNSYS0000010877,1,1,1920,31,12,1920
Baetis buceratus,NBNSYS0000010864,1,1,1870,,,
Baetis fuscatus,NHMSYS0000066961,1,1,1761,,,
Baetis rhodani,NHMSYS0000066962,1,1,1844,,,
Baetis scambus,NBNSYS0000010870,1,1,1870,,,
Baetis vernus,NBNSYS0000010871,1,1,1834,,,
Brachycercus harrisella,NBNSYS0000010900,1,1,1834,,,
Caenis beskidensis,NBNSYS0100002144,1,1,1984,,,
Caenis horaria,NHMSYS0000066966,1,1,1835,,,
Caenis luctuosa,NHMSYS0000066967,1,1,1941,,,
Caenis macrura,NBNSYS0000010903,1,1,1835,,,
Caenis pseudorivulorum,NHMSYS0000066968,1,1,1994,,,
Caenis pusilla,NHMSYS0000066969,1,1,1980,,,
Caenis rivulorum,NBNSYS0000010904,1,1,1884,,,
Caenis robusta,NBNSYS0000010905,1,1,1951,,,
Centroptilum luteolum,NHMSYS0000066963,1,1,1776,,,
Cloeon dipterum,NHMSYS0000066964,1,1,1761,,,
Cloeon simile,NBNSYS0000010875,1,1,1870,,,
Ecdyonurus dispar,NBNSYS0000010878,1,1,1834,,,
Ecdyonurus insignis,NBNSYS0000010879,1,1,1870,,,
Ecdyonurus torrentis,NBNSYS0000010880,1,1,1942,,,
Ecdyonurus venosus,NBNSYS0000010881,1,1,1775,,,
Electrogena affinis,NBNSYS0100002943,1,1,1988,,,
Electrogena lateralis,NBNSYS0100002944,1,1,1834,,,
Ephemera danica,NHMSYS0000066970,1,1,1764,,,
Ephemera lineata,NBNSYS0000010898,1,1,1870,,,
Ephemera vulgata,NBNSYS0000010899,1,1,1758,,,
Ephemerella notata,NBNSYS0000010895,1,1,1887,,,
Habrophlebia fusca,NBNSYS0000010888,1,1,1834,,,
Heptagenia longicauda,NHMSYS0000066972,1,1,1835,31,12,1930
Heptagenia sulphurea,NHMSYS0000066973,1,1,1776,,,
Kageronia fuscogrisea,NBNSYS0100003631,1,1,1783,,,
Labiobaetis atrebatinus,NBNSYS0100003648,1,1,1870,,,
Leptophlebia marginata,NHMSYS0000066974,1,1,1767,,,
Leptophlebia vespertina,NBNSYS0000010890,1,1,1758,,,
Nigrobaetis digitatus,NBNSYS0100004259,1,1,1939,,,
Nigrobaetis niger,NBNSYS0100004260,1,1,1761,,,
Paraleptophlebia cincta,NBNSYS0000010891,1,1,1783,,,
Paraleptophlebia submarginata,NBNSYS0000010892,1,1,1835,,,
Paraleptophlebia werneri,NBNSYS0000010893,1,1,1919,,,
Potamanthus luteus,NBNSYS0000010896,1,1,1834,,,
Procloeon bifidum,NBNSYS0000010876,1,1,1912,,,
Procloeon pennulatum,NHMSYS0000066965,1,1,1870,,,
Rhithrogena germanica,NBNSYS0000010886,1,1,1932,,,
Rhithrogena semicolorata,NBNSYS0000010887,1,1,1834,,,
Serratella ignita,NBNSYS0100005496,1,1,1761,,,
Siphlonurus alternatus,NBNSYS0000010860,1,1,1913,,,
Siphlonurus armatus,NBNSYS0000010861,1,1,1870,,,
Siphlonurus lacustris,NBNSYS0000010862,1,1,1870,,,
