tvk,start_day,start_month,start_year,end_day,end_month,end_year,taxon,rtvk,organism_key
NBNSYS0000010859,1,1,1898,,,,Ameletus inopinatus,NBNSYS0000010859,NBNORG0000011321
NBNSYS0000010860,1,1,1913,,,,Siphlonurus alternatus,NBNSYS0000010860,NBNORG0000011322
NBNSYS0000010861,1,1,1870,,,,Siphlonurus armatus,NBNSYS0000010861,NBNORG0000011323
NBNSYS0000010862,1,1,1870,,,,Siphlonurus lacustris,NBNSYS0000010862,NBNORG0000011324
NBNSYS0000010864,1,1,1870,,,,Baetis buceratus,NBNSYS0000010864,NBNORG0000011325
NBNSYS0000010870,1,1,1870,,,,Baetis scambus,NBNSYS0000010870,NBNORG0000011326
NBNSYS0000010871,1,1,1834,,,,Baetis vernus,NBNSYS0000010871,NBNORG0000011327
NBNSYS0000010875,1,1,1870,,,,Cloeon simile,NBNSYS0000010875,NBNORG0000011328
NBNSYS0000010876,1,1,1912,,,,Procloeon bifidum,NBNSYS0000010876,NBNORG0000011329
NBNSYS0000010877,1,1,1920,31,12,1920,Arthroplea congener,NBNSYS0000010877,NBNORG0000011330
NBNSYS0000010878,1,1,1834,,,,Ecdyonurus dispar,NBNSYS0000010878,NBNORG0000011331
NBNSYS0000010879,1,1,1870,,,,Ecdyonurus insignis,NBNSYS0000010879,NBNORG0000011332
NBNSYS0000010880,1,1,1942,,,,Ecdyonurus torrentis,NBNSYS0000010880,NBNORG0000011333
NBNSYS0000010881,1,1,1775,,,,Ecdyonurus venosus,NBNSYS0000010881,NBNORG0000011334
NBNSYS0000010886,1,1,1932,,,,Rhithrogena germanica,NBNSYS0000010886,NBNORG0000011335
NBNSYS0000010887,1,1,1834,,,,Rhithrogena semicolorata,NBNSYS0000010887,NBNORG0000011336
NBNSYS0000010888,1,1,1834,,,,Habrophlebia fusca,NBNSYS0000010888,NBNORG0000011337
NBNSYS0000010890,1,1,1758,,,,Leptophlebia vespertina,NBNSYS0000010890,NBNORG0000011338
NBNSYS0000010891,1,1,1783,,,,Paraleptophlebia cincta,NBNSYS0000010891,NBNORG0000011339
NBNSYS0000010892,1,1,1835,,,,Paraleptophlebia submarginata,NBNSYS0000010892,NBNORG0000011340
NBNSYS0000010893,1,1,1919,,,,Paraleptophlebia werneri,NBNSYS0000010893,NBNORG0000011341
NBNSYS0000010895,1,1,1887,,,,Ephemerella notata,NBNSYS0000010895,NBNORG0000011342
NBNSYS0000010896,1,1,1834,,,,Potamanthus luteus,NBNSYS0000010896,NBNORG0000011343
NBNSYS0000010898,1,1,1870,,,,Ephemera lineata,NBNSYS0000010898,NBNORG0000011344
NBNSYS0000010899,1,1,1758,,,,Ephemera vulgata,NBNSYS0000010899,NBNORG0000011345
NBNSYS0000010900,1,1,1834,,,,Brachycercus harrisella,NBNSYS0000010900,NBNORG0000011346
NBNSYS0000010903,1,1,1835,,,,Caenis macrura,NBNSYS0000010903,NBNORG0000011347
NBNSYS0000010904,1,1,1884,,,,Caenis rivulorum,NBNSYS0000010904,NBNORG0000011348
NBNSYS0000010905,1,1,1951,,,,Caenis robusta,NBNSYS0000010905,NBNORG0000011349
NBNSYS0000010867,1,1,1758,,,,Baetis muticus,NBNSYS0000010867,NBNORG0000041043
NBNSYS0100002144,1,1,1984,,,,Caenis beskidensis,NBNSYS0100002144,NBNORG0000041346
NBNSYS0100002943,1,1,1988,,,,Electrogena affinis,NBNSYS0100002943,NBNORG0000041872
NBNSYS0100002944,1,1,1834,,,,Electrogena lateralis,NBNSYS0100002944,NBNORG0000041873
NBNSYS0100003631,1,1,1783,,,,Kageronia fuscogrisea,NBNSYS0100003631,NBNORG0000042238
NBNSYS0000010863,1,1,1870,,,,Baetis atrebatinus,NBNSYS0000010863,NBNORG0000042249
NBNSYS0000010865,1,1,1939,,,,Baetis digitatus,NBNSYS0000010865,NBNORG0000042639
NBNSYS0000010868,1,1,1761,,,,Baetis niger,NBNSYS0000010868,NBNORG0000042640
NBNSYS0100005496,1,1,1761,,,,Serratella ignita,NBNSYS0100005496,NBNORG0000043272
NHMSYS0000066961,1,1,1761,,,,Baetis fuscatus,NHMSYS0000066961,NBNORG0000047983
NHMSYS0021233523,1,1,1844,,,,Baetis rhodani/atlanticus,NHMSYS0021233523,NBNORG0000047984
NHMSYS0000066963,1,1,1776,,,,Centroptilum luteolum,NHMSYS0000066963,NBNORG0000047985
NHMSYS0000066964,1,1,1761,,,,Cloeon dipterum,NHMSYS0000066964,NBNORG0000047986
NHMSYS0000066965,1,1,1870,,,,Procloeon pennulatum,NHMSYS0000066965,NBNORG0000047987
NHMSYS0000066966,1,1,1835,,,,Caenis horaria,NHMSYS0000066966,NBNORG0000047988
NHMSYS0000066967,1,1,1941,,,,Caenis luctuosa,NHMSYS0000066967,NBNORG0000047989
NHMSYS0000066968,1,1,1994,,,,Caenis pseudorivulorum,NHMSYS0000066968,NBNORG0000047990
NHMSYS0000066969,1,1,1980,,,,Caenis pusilla,NHMSYS0000066969,NBNORG0000047991
NHMSYS0000066970,1,1,1764,,,,Ephemera danica,NHMSYS0000066970,NBNORG0000047992
NHMSYS0000066972,1,1,1835,31,12,1930,Heptagenia longicauda,NHMSYS0000066972,NBNORG0000047993
NHMSYS0000066973,1,1,1776,,,,Heptagenia sulphurea,NHMSYS0000066973,NBNORG0000047994
NHMSYS0000066974,1,1,1767,,,,Leptophlebia marginata,NHMSYS0000066974,NBNORG0000047995
