tvk,start_day,start_month,start_year,end_day,end_month,end_year,taxon,rtvk,organism_key
NBNSYS0000008339,1,1,1825,,,,Rhyacophila dorsalis,NBNSYS0000008339,NBNORG0000010529
NBNSYS0000008340,1,1,1845,,,,Rhyacophila munda,NBNSYS0000008340,NBNORG0000010530
NBNSYS0000008341,1,1,1861,,,,Rhyacophila obliterata,NBNSYS0000008341,NBNORG0000010531
NBNSYS0000008343,1,1,1835,,,,Glossosoma boltoni,NBNSYS0000008343,NBNORG0000010532
NBNSYS0000008345,1,1,1925,31,12,2003,Glossosoma intermedium,NBNSYS0000008345,NBNORG0000010533
NBNSYS0000008346,1,1,1862,,,,Agapetus delicatulus,NBNSYS0000008346,NBNORG0000010534
NBNSYS0000008347,1,1,1835,,,,Agapetus fuscipes,NBNSYS0000008347,NBNORG0000010535
NBNSYS0000008348,1,1,1860,,,,Agapetus ochripes,NBNSYS0000008348,NBNORG0000010536
NBNSYS0000008349,1,1,1858,,,,Agraylea multipunctata,NBNSYS0000008349,NBNORG0000010537
NBNSYS0000008350,1,1,1860,,,,Agraylea sexmaculata,NBNSYS0000008350,NBNORG0000010538
NBNSYS0000008351,1,1,1874,,,,Allotrichia pallicornis,NBNSYS0000008351,NBNORG0000010539
NBNSYS0000008352,1,1,1913,,,,Hydroptila angulata,NBNSYS0000008352,NBNORG0000010540
NBNSYS0000008353,1,1,1915,,,,Hydroptila cornuta,NBNSYS0000008353,NBNORG0000010541
NBNSYS0000008354,1,1,1874,,,,Hydroptila forcipata,NBNSYS0000008354,NBNORG0000010542
NBNSYS0000008355,1,1,1959,,,,Hydroptila lotensis,NBNSYS0000008355,NBNORG0000010543
NBNSYS0000008356,1,1,1980,,,,Hydroptila martini,NBNSYS0000008356,NBNORG0000010544
NBNSYS0000008357,1,1,1874,,,,Hydroptila occulta,NBNSYS0000008357,NBNORG0000010545
NBNSYS0000008358,1,1,1859,,,,Hydroptila pulchricornis,NBNSYS0000008358,NBNORG0000010546
NBNSYS0000008359,1,1,1862,,,,Hydroptila simulans,NBNSYS0000008359,NBNORG0000010547
NBNSYS0000008360,1,1,1850,,,,Hydroptila sparsa,NBNSYS0000008360,NBNORG0000010548
NBNSYS0000008361,1,1,1881,,,,Hydroptila sylvestris,NBNSYS0000008361,NBNORG0000010549
NBNSYS0000008362,1,1,1881,,,,Hydroptila tigurina,NBNSYS0000008362,NBNORG0000010550
NBNSYS0000008363,1,1,1835,,,,Hydroptila tineoides,NBNSYS0000008363,NBNORG0000010551
NBNSYS0000008365,1,1,1835,,,,Hydroptila vectis,NBNSYS0000008365,NBNORG0000010553
NBNSYS0000008366,1,1,1900,31,12,1920,Oxyethira distinctella,NBNSYS0000008366,NBNORG0000010554
NBNSYS0000008367,1,1,1898,,,,Oxyethira falcata,NBNSYS0000008367,NBNORG0000010555
NBNSYS0000008368,1,1,1835,,,,Oxyethira flavicornis,NBNSYS0000008368,NBNORG0000010556
NBNSYS0000008369,1,1,1880,,,,Oxyethira frici,NBNSYS0000008369,NBNORG0000010557
NBNSYS0000008370,1,1,1903,,,,Oxyethira mirabilis,NBNSYS0000008370,NBNORG0000010558
NBNSYS0000008371,1,1,1881,,,,Oxyethira sagittifera,NBNSYS0000008371,NBNORG0000010559
NBNSYS0000008372,1,1,1880,,,,Oxyethira simplex,NBNSYS0000008372,NBNORG0000010560
NBNSYS0000008373,1,1,1885,,,,Oxyethira tristella,NBNSYS0000008373,NBNORG0000010561
NBNSYS0000008374,1,1,1891,,,,Tricholeiochiton fagesii,NBNSYS0000008374,NBNORG0000010562
NBNSYS0000008375,1,1,1939,,,,Ithytrichia clavata,NBNSYS0000008375,NBNORG0000010563
NBNSYS0000008376,1,1,1874,,,,Ithytrichia lamellaris,NBNSYS0000008376,NBNORG0000010564
NBNSYS0000008377,1,1,1862,,,,Orthotrichia angustella,NBNSYS0000008377,NBNORG0000010565
NBNSYS0000008378,1,1,1859,,,,Orthotrichia costalis,NBNSYS0000008378,NBNORG0000010566
NBNSYS0000008379,1,1,1915,31,12,1920,Orthotrichia tragetti,NBNSYS0000008379,NBNORG0000010567
NBNSYS0000008380,1,1,1813,,,,Philopotamus montanus,NBNSYS0000008380,NBNORG0000010568
NBNSYS0000008381,1,1,1867,,,,Wormaldia mediana,NBNSYS0000008381,NBNORG0000010569
NBNSYS0000008382,1,1,1825,,,,Wormaldia occipitalis,NBNSYS0000008382,NBNORG0000010570
NBNSYS0000008383,1,1,1860,,,,Wormaldia subnigra,NBNSYS0000008383,NBNORG0000010571
NBNSYS0000008384,1,1,1836,,,,Chimarra marginata,NBNSYS0000008384,NBNORG0000010572
NBNSYS0000008385,1,1,1835,,,,Lype phaeopa,NBNSYS0000008385,NBNORG0000010573
NBNSYS0000008386,1,1,1837,,,,Lype reducta,NBNSYS0000008386,NBNORG0000010574
NHMSYS0020547806,1,1,1868,,,,Psychomyia fragilis,NHMSYS0020547806,NBNORG0000010575
NBNSYS0000008389,1,1,1862,,,,Tinodes assimilis,NBNSYS0000008389,NBNORG0000010576
NBNSYS0000008390,1,1,1865,,,,Tinodes dives,NBNSYS0000008390,NBNORG0000010577
NBNSYS0000008391,1,1,1861,,,,Tinodes maclachlani,NBNSYS0000008391,NBNORG0000010578
NBNSYS0000008393,1,1,1949,,,,Tinodes pallidulus,NBNSYS0000008393,NBNORG0000010580
NBNSYS0000008394,1,1,1930,,,,Tinodes rostocki,NBNSYS0000008394,NBNORG0000010581
NBNSYS0000008395,1,1,1862,,,,Tinodes unicolor,NBNSYS0000008395,NBNORG0000010582
NBNSYS0000008396,1,1,1836,,,,Tinodes waeneri,NBNSYS0000008396,NBNORG0000010583
NBNSYS0000008397,1,1,1860,,,,Ecnomus tenellus,NBNSYS0000008397,NBNORG0000010584
NBNSYS0000008399,1,1,1861,,,,Cyrnus flavidus,NBNSYS0000008399,NBNORG0000010586
NBNSYS0000008400,1,1,1941,,,,Cyrnus insolutus,NBNSYS0000008400,NBNORG0000010587
