tvk,start_day,start_month,start_year,end_day,end_month,end_year,taxon,rtvk,organism_key
NBNSYS0000005603,1,1,1949,,,,Coenagrion mercuriale,NBNSYS0000005603,NBNORG0000008964
NBNSYS0000005604,1,1,1946,,,,Coenagrion scitulum,NBNSYS0000005604,NBNORG0000008965
NBNSYS0000005605,1,1,1965,,,,Coenagrion pulchellum,NBNSYS0000005605,NBNORG0000008966
NBNSYS0000005607,1,1,1914,,,,Coenagrion hastulatum,NBNSYS0000005607,NBNORG0000008968
NBNSYS0000005608,1,1,1905,31,12,1957,Coenagrion armatum,NBNSYS0000005608,NBNORG0000008969
NBNSYS0000005609,,,,31,12,1800,Coenagrion lunulatum,NBNSYS0000005609,NBNORG0000008970
NBNSYS0000005611,1,1,1965,,,,Ceriagrion tenellum,NBNSYS0000005611,NBNORG0000008972
NBNSYS0000005612,1,1,2002,,,,Lestes barbarus,NBNSYS0000005612,NBNORG0000008973
NBNSYS0000005616,1,1,1965,,,,Calopteryx virgo,NBNSYS0000005616,NBNORG0000008976
NBNSYS0000005618,,,,31,12,1800,Sympecma fusca,NBNSYS0000005618,NBNORG0000008978
NHMSYS0021009106,,,,31,12,1800,Stylurus flavipes,NHMSYS0021009106,NBNORG0000008979
NBNSYS0000005620,1,1,1951,,,,Gomphus vulgatissimus,NBNSYS0000005620,NBNORG0000008980
NBNSYS0000005621,1,1,1953,,,,Cordulegaster boltonii,NBNSYS0000005621,NBNORG0000008981
NBNSYS0000005622,1,1,1901,,,,Brachytron pratense,NBNSYS0000005622,NBNORG0000008982
NBNSYS0000005627,1,1,1939,,,,Aeshna mixta,NBNSYS0000005627,NBNORG0000008987
NHMSYS0021009098,1,1,1903,,,,Anax ephippiger,NHMSYS0021009098,NBNORG0000008990
NBNSYS0000005636,,,,31,12,1800,Oxygastra curtisii,NBNSYS0000005636,NBNORG0000008993
NBNSYS0000005637,1,1,1947,,,,Libellula depressa,NBNSYS0000005637,NBNORG0000008994
NBNSYS0000005638,1,1,1965,,,,Libellula fulva,NBNSYS0000005638,NBNORG0000008995
NBNSYS0000005640,1,1,1955,,,,Orthetrum coerulescens,NBNSYS0000005640,NBNORG0000008997
NBNSYS0000005642,,,,31,12,1800,Pantala flavescens,NBNSYS0000005642,NBNORG0000008999
NBNSYS0000005643,,,,31,12,1800,Crocothemis erythraea,NBNSYS0000005643,NBNORG0000009000
NBNSYS0000005644,,,,31,12,1800,Sympetrum vulgatum,NBNSYS0000005644,NBNORG0000009001
NBNSYS0000005648,,,,31,12,1800,Sympetrum meridionale,NBNSYS0000005648,NBNORG0000009003
NBNSYS0000005649,,,,31,12,1800,Sympetrum flaveolum,NBNSYS0000005649,NBNORG0000009004
NBNSYS0000005650,1,1,1965,,,,Sympetrum sanguineum,NBNSYS0000005650,NBNORG0000009005
NBNSYS0000005651,1,1,1941,,,,Sympetrum danae,NBNSYS0000005651,NBNORG0000009006
NHMSYS0000344168,,,,31,12,1800,Anax junius,NHMSYS0000344168,NBNORG0000052147
NHMSYS0000344169,1,1,1996,,,,Anax parthenope,NHMSYS0000344169,NBNORG0000052148
NHMSYS0000344177,1,1,1999,,,,Erythromma viridulum,NHMSYS0000344177,NBNORG0000052151
NHMSYS0000344182,,,,31,12,1800,Orthetrum brunneum,NHMSYS0000344182,NBNORG0000052154
NHMSYS0000344190,,,,31,12,1800,Sympetrum pedemontanum,NHMSYS0000344190,NBNORG0000052158
NHMSYS0000532361,,,,31,12,1800,Ischnura genei,NHMSYS0000532361,NBNORG0000061169
NHMSYS0000532481,,,,31,12,1800,Somatochlora flavomaculata,NHMSYS0000532481,NBNORG0000061189
NHMSYS0000532531,,,,31,12,1800,Leucorrhinia pectoralis,NHMSYS0000532531,NBNORG0000061199
NHMSYS0020546806,1,1,2010,,,,Aeshna affinis,NHMSYS0020546806,NBNORG0000099276
NHMSYS0021009068,1,1,1979,,,,Chalcolestes viridis,NHMSYS0021009068,NBNORG0000099277
NHMSYS0020546892,1,1,1914,,,,Leucorrhinia dubia,NHMSYS0020546892,NBNORG0000099278
NHMSYS0021123700,,,,31,12,1800,Ischnura senegalensis,NHMSYS0021123700,NBNORG0000116355
NHMSYS0021123706,,,,31,12,1800,Crocothemis servilia,NHMSYS0021123706,NBNORG0000116356
