tvk,code,taxon,rtvk,organism_key
NBNSYS0000022413,3,Brachyptera putata,NBNSYS0000022413,NBNORG0000017095
NBNSYS0000022414,3,Brachyptera risi,NBNSYS0000022414,NBNORG0000017096
NBNSYS0000022416,3,Taeniopteryx nebulosa,NBNSYS0000022416,NBNORG0000017097
NBNSYS0000022419,3,Nemoura avicularis,NBNSYS0000022419,NBNORG0000017098
NBNSYS0000022420,3,Nemoura cambrica,NBNSYS0000022420,NBNORG0000017099
NBNSYS0000022421,3,Nemoura cinerea,NBNSYS0000022421,NBNORG0000017100
NBNSYS0000022422,4,Nemoura dubitans,NBNSYS0000022422,NBNORG0000017101
NBNSYS0000022423,3,Nemoura erratica,NBNSYS0000022423,NBNORG0000017102
NBNSYS0000022425,3,Protonemura meyeri,NBNSYS0000022425,NBNORG0000017103
NBNSYS0000022426,3,Protonemura montana,NBNSYS0000022426,NBNORG0000017104
NBNSYS0000022427,3,Protonemura praecox,NBNSYS0000022427,NBNORG0000017105
NBNSYS0000022428,3,Leuctra fusca,NBNSYS0000022428,NBNORG0000017106
NBNSYS0000022429,3,Leuctra geniculata,NBNSYS0000022429,NBNORG0000017107
NBNSYS0000022432,3,Leuctra moselyi,NBNSYS0000022432,NBNORG0000017108
NBNSYS0000022433,3,Leuctra nigra,NBNSYS0000022433,NBNORG0000017109
NBNSYS0000022434,3,Capnia atra,NBNSYS0000022434,NBNORG0000017110
NBNSYS0000022436,3,Capnia vidua subsp. anglica,NBNSYS0000022436,NBNORG0000017111
NBNSYS0000022438,5,Isogenus nubecula,NBNSYS0000022438,NBNORG0000017112
NBNSYS0000022439,3,Isoperla grammatica,NBNSYS0000022439,NBNORG0000017113
NBNSYS0000022440,5,Isoperla obscura,NBNSYS0000022440,NBNORG0000017114
NBNSYS0000022442,3,Dinocras cephalotes,NBNSYS0000022442,NBNORG0000017115
NBNSYS0000022443,3,Perla bipunctata,NBNSYS0000022443,NBNORG0000017116
NBNSYS0000022446,3,Chloroperla tripunctata,NBNSYS0000022446,NBNORG0000017117
NBNSYS0000156799,3,Siphonoperla torrentium,NBNSYS0000156799,NBNORG0000027080
NBNSYS0000159130,5,Xanthoperla apicalis,NBNSYS0000159130,NBNORG0000027128
NHMSYS0020316239,3,Amphinemura standfussi,NHMSYS0020316239,NBNORG0000095820
NHMSYS0020316240,3,Amphinemura sulcicollis,NHMSYS0020316240,NBNORG0000095821
NHMSYS0021167569,3,Zwicknia bifrons,NHMSYS0021167569,NBNORG0000095827
NHMSYS0020316247,3,Capnia vidua,NHMSYS0020316247,NBNORG0000095828
NHMSYS0020316254,3,Diura bicaudata,NHMSYS0020316254,NBNORG0000095834
NHMSYS0020316259,3,Leuctra hippopus,NHMSYS0020316259,NBNORG0000095839
NHMSYS0020316260,3,Leuctra inermis,NHMSYS0020316260,NBNORG0000095840
NHMSYS0020316272,3,Nemurella pictetii,NHMSYS0020316272,NBNORG0000095846
NHMSYS0021168023,1,Perlodes mortoni,NHMSYS0021168023,NBNORG0000095850
NHMSYS0020316291,5,Rhabdiopteryx acuminata,NHMSYS0020316291,NBNORG0000095855
NHMSYS0020784625,3,Taeniopteryx nebulosa subsp. britannica,NHMSYS0020784625,NBNORG0000104370
